id;earthquake;M0 (seismic moment, Nm);a (radius, m);?? (stress drop, Pa);Er (radiated energy, J);tau i (Pa);type of energy;value (J/m^2);type of slip;value (m);Reference M0, a;Reference Er;Reference slip, G';Collection;Note;Type of seismic event
;;0.0069871;0.00209;334000;1.82E-08;;G';0.001508065;slip;1.6972E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0029292;0.00219;122000;2.78E-09;;G';0.000210789;slip;6.48022E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.019754;0.00285;372000;5.73E-08;;G';0.002554113;slip;2.58044E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0023249;0.00178;181000;3.28E-09;;G';0.000375077;slip;7.78562E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.010021;0.00274;213000;1.67E-08;;G';0.00080025;slip;1.41625E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0044091;0.00198;249000;8.56E-09;;G';0.00079064;slip;1.1933E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0021157;0.00127;457000;7.54E-09;;G';0.001692215;slip;1.3918E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0073867;0.00214;331000;1.91E-08;;G';0.001504803;slip;1.7114E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0057385;0.00188;377000;1.69E-08;;G';0.001725281;slip;1.72271E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0031257;0.00157;351000;8.56E-09;;G';0.001255902;slip;1.34548E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.015673;0.00238;507000;0.000000062;;G';0.003958185;slip;2.9358E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.012017;0.00193;732000;6.86E-08;;G';0.006666092;slip;3.42303E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0068415;0.00223;269000;1.44E-08;;G';0.001041599;slip;1.45972E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0062065;0.00269;140000;6.77E-09;;G';0.000339237;slip;9.10062E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0042535;0.00141;663000;0.000000022;;G';0.004002878;slip;2.27006E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.00094026;0.00123;223000;1.63E-09;;G';0.000392314;slip;6.59427E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.010808;0.00188;711000;5.99E-08;;G';0.006139858;slip;3.24458E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0076094;0.00224;296000;1.76E-08;;G';0.001264949;slip;1.6091E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.01038;0.00225;400000;3.24E-08;;G';0.002313838;slip;2.17551E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0023426;0.00132;443000;8.1E-09;;G';0.001680005;slip;1.42652E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0029414;0.00146;413000;9.47E-09;;G';0.001609265;slip;1.46412E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0044213;0.00187;294000;1.01E-08;;G';0.001052662;slip;1.34152E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0087821;0.00167;829000;5.68E-08;;G';0.00736617;slip;3.34114E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0034111;0.00208;166000;4.41E-09;;G';0.000369883;slip;8.36559E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0036087;0.00113;1090000;3.07E-08;;G';0.008689531;slip;2.99863E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0082215;0.00187;547000;3.51E-08;;G';0.003627642;slip;2.49458E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0056657;0.0021;269000;1.19E-08;;G';0.000974506;slip;1.36315E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0034419;0.00178;268000;7.19E-09;;G';0.000822179;slip;1.15262E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0013969;0.00133;258000;2.81E-09;;G';0.000575234;slip;8.37898E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0072402;0.00208;352000;1.99E-08;;G';0.001660991;slip;1.77563E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0047621;0.00201;256000;9.51E-09;;G';0.00085156;slip;1.25065E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0036062;0.00208;175000;4.93E-09;;G';0.000411137;slip;8.84407E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0021923;0.00164;219000;3.74E-09;;G';0.000504389;slip;8.64851E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0047555;0.00194;287000;1.06E-08;;G';0.001027356;slip;1.34067E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0039382;0.00173;334000;1.03E-08;;G';0.001236127;slip;1.39616E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0028445;0.00135;507000;1.13E-08;;G';0.002224418;slip;1.65603E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0056872;0.00223;224000;9.94E-09;;G';0.000722802;slip;1.21344E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.013703;0.00236;456000;4.88E-08;;G';0.003162913;slip;2.61048E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.020363;0.00192;1250000;0.000000198;;G';0.019534229;slip;5.86095E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0045783;0.00123;1070000;3.81E-08;;G';0.009162029;slip;3.21087E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0013696;0.00123;324000;3.46E-09;;G';0.00082809;slip;9.60533E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0060311;0.0018;453000;2.13E-08;;G';0.002380919;slip;1.97506E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0074097;0.00165;717000;4.14E-08;;G';0.005512217;slip;2.88776E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0092779;0.00224;359000;0.000000026;;G';0.001872251;slip;1.96193E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0044213;0.00183;315000;1.09E-08;;G';0.001170228;slip;1.4008E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0035396;0.00165;347000;9.57E-09;;G';0.001274489;slip;1.37948E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.004029;0.00205;206000;6.48E-09;;G';0.000556931;slip;1.01723E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0042889;0.00212;198000;6.63E-09;;G';0.000532833;slip;1.01252E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0042904;0.00205;219000;7.34E-09;;G';0.000630179;slip;1.08323E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.006166;0.00196;358000;1.72E-08;;G';0.00162324;slip;1.70302E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0070356;0.00193;430000;2.36E-08;;G';0.002292047;slip;2.00408E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.002902;0.00124;667000;1.51E-08;;G';0.003552535;slip;2.00255E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.016969;0.00197;973000;0.000000129;;G';0.011989676;slip;4.6393E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0018351;0.00189;119000;1.71E-09;;G';0.000171948;slip;5.45086E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0067873;0.00137;1150000;6.08E-08;;G';0.011751114;slip;3.83694E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0056911;0.00136;982000;4.36E-08;;G';0.008526412;slip;3.26473E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0025512;0.00155;298000;5.93E-09;;G';0.000893117;slip;1.1267E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0034029;0.00183;242000;6.43E-09;;G';0.000693386;slip;1.07814E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0013654;0.00157;153000;1.63E-09;;G';0.000239132;slip;5.87746E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0055821;0.00192;342000;1.49E-08;;G';0.001460817;slip;1.60666E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0023711;0.00178;184000;3.41E-09;;G';0.000387929;slip;7.94033E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0035274;0.00177;277000;7.63E-09;;G';0.000879351;slip;1.19464E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0032011;0.00151;403000;1.01E-08;;G';0.00159158;slip;1.48962E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.01042;0.00188;684000;5.56E-08;;G';0.005690744;slip;3.1281E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.020725;0.00278;424000;6.85E-08;;G';0.003210804;slip;2.84534E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0060104;0.00144;889000;4.17E-08;;G';0.007269134;slip;3.07544E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.008966;0.00125;2000000;0.00000014;;G';0.032364052;slip;6.08846E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0045311;0.00187;301000;1.07E-08;;G';0.001095139;slip;1.37483E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0018787;0.00155;219000;3.21E-09;;G';0.000483229;slip;8.29703E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0032625;0.00168;300000;7.65E-09;;G';0.000976956;slip;1.22648E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0040013;0.00177;315000;9.82E-09;;G';0.001136607;slip;1.35514E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0039779;0.00206;198000;6.16E-09;;G';0.000522596;slip;9.946E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0054866;0.00252;150000;6.41E-09;;G';0.000366234;slip;9.16708E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0058567;0.00169;528000;2.41E-08;;G';0.003058048;slip;2.17575E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0021128;0.00164;211000;3.48E-09;;G';0.000467478;slip;8.33488E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.002661;0.00155;315000;6.53E-09;;G';0.000985767;slip;1.1752E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0064916;0.00204;335000;0.000000017;;G';0.001471982;slip;1.65508E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.012841;0.00199;711000;7.12E-08;;G';0.006507975;slip;3.4405E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0018401;0.00141;287000;4.12E-09;;G';0.000749594;slip;9.82047E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0023859;0.00195;141000;2.63E-09;;G';0.000249195;slip;6.65751E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0039779;0.00164;392000;1.22E-08;;G';0.0016319;slip;1.56926E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0041491;0.00215;182000;5.89E-09;;G';0.000461066;slip;9.5237E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.006256;0.00194;376000;1.84E-08;;G';0.00175954;slip;1.76369E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0033056;0.00185;230000;5.93E-09;;G';0.000626991;slip;1.02479E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0049499;0.00186;334000;1.29E-08;;G';0.001348322;slip;1.5181E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.002184;0.00136;377000;6.42E-09;;G';0.001256787;slip;1.25286E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.002184;0.00139;352000;0.000000006;;G';0.001122396;slip;1.19937E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.006655;0.0021;314000;1.63E-08;;G';0.001337323;slip;1.60117E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0050641;0.00234;173000;6.85E-09;;G';0.000450613;slip;9.81295E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0053131;0.00198;300000;1.24E-08;;G';0.001150143;slip;1.43796E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0032953;0.00175;268000;6.88E-09;;G';0.00081477;slip;1.14169E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0060625;0.00171;531000;2.51E-08;;G';0.003108219;slip;2.19983E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0016763;0.00155;196000;2.56E-09;;G';0.000386333;slip;7.40316E-09;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0076068;0.00169;689000;4.09E-08;;G';0.005176971;slip;2.8259E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0050449;0.00215;221000;8.7E-09;;G';0.000680488;slip;1.15799E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.004618;0.00166;443000;0.000000016;;G';0.002090365;slip;1.77814E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0062302;0.00227;232000;1.13E-08;;G';0.000790083;slip;1.28286E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0075076;0.00282;146000;8.57E-09;;G';0.000388201;slip;1.00169E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0050641;0.00205;256000;1.01E-08;;G';0.000871561;slip;1.27857E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.002899;0.00166;278000;6.29E-09;;G';0.000825004;slip;1.11625E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0035469;0.00177;282000;7.8E-09;;G';0.000901256;slip;1.20124E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0048167;0.00205;246000;9.25E-09;;G';0.000795185;slip;1.2161E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0099931;0.00186;674000;5.25E-08;;G';0.005497997;slip;3.06481E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.0097208;0.00205;492000;3.73E-08;;G';0.003212302;slip;2.45427E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;0.01145;0.00219;476000;4.25E-08;;G';0.003208031;slip;2.53306E-08;Yoshimitsu et al., 2014;Yoshimitsu et al., 2014;Cocco et al., in prep.;Selvadurai, 2019;sm;laboratory
;;14000000;4.84564678;53833.2789;11;;G';0.021162984;slip;6.32635E-06;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;16000000;2.903071234;286104.6806;73;;G';0.124432835;slip;2.01434E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;35000000;3.7672803;286392.9335;128;;G';0.876102235;slip;2.61662E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;69000000;8.519470483;48819.05184;26;;G';0.132189112;slip;1.00868E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;67000000;7.852283036;60543.15151;22;;G';0.235442664;slip;1.15295E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;74000000;6.788953041;103466.8823;84;;G';0.301177267;slip;1.70355E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;65000000;6.484970069;104271.9478;77;;G';0.27218819;slip;1.63993E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;92000000;8.927938246;56560.38433;33;;G';0.214551549;slip;1.22466E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;97000000;7.805263377;89245.65984;45;;G';0.518727038;slip;1.68937E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;183000000;6.23674155;330031.889;305;;G';5.741462305;slip;4.99188E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;198000000;9.445499883;102794.1516;123;;G';0.771431739;slip;2.35475E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;238000000;5.255963645;717130.1086;1157;;G';19.44549851;slip;9.14116E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;322000000;7.32291564;358741.6785;661;;G';7.50436587;slip;6.37113E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;385000000;7.448451337;407606.2482;837;;G';10.2038846;slip;7.36305E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;515000000;8.632311152;350270.8757;971;;G';8.694913929;slip;7.333E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;614000000;9.179429464;347295.6642;1337;;G';8.374963702;slip;7.73154E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;656000000;8.046166567;550953.3653;1656;;G';21.47486971;slip;0.000107511;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;651000000;8.249866987;507245.5043;1602;;G';18.2473795;slip;0.000101488;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;876000000;10.3450713;346163.8391;1421;;G';10.80556794;slip;8.68492E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;28000000;4.557618825;129396.3684;24;;G';0.557565856;slip;1.43025E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;29000000;5.717013087;67899.80015;15;;G';0.173530764;slip;9.41431E-06;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;30000000;4.774648293;120579.9649;32;;G';0.395002671;slip;1.39626E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;50000000;4.688773323;212212.2007;44;;G';1.923410416;slip;2.41313E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;53000000;9.514445138;26921.76495;8;;G';0.055490004;slip;6.21209E-06;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;51000000;4.739923578;209524.2114;39;;G';1.970701181;slip;2.40855E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;56000000;3.724225668;474305.4525;72;;G';8.507133849;slip;4.28396E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;63000000;6.062692948;123686.3821;32;;G';0.847562397;slip;1.8186E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;63000000;5.499911325;165672.9268;35;;G';1.462237265;slip;2.20983E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;78000000;4.975110626;277117.8072;73;;G';3.694106756;slip;3.34363E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;72000000;5.767606124;164181.3306;44;;G';1.464199706;slip;2.29652E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;155000000;7.534560601;158538.9453;67;;G';1.920744399;slip;2.89697E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;145000000;4.655282085;628793.5141;289;;G';18.0746336;slip;7.09913E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;162000000;8.197981031;128638.908;83;;G';1.2519144;slip;2.55758E-05;Oye et al., 2005;Oye et al., 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
