name;machine;experiment;material;sample;fluid;method;type of energy;value (J/m^2);min (J/m^2);max (J/m^2);type of slip;value (m);min (m);max (m);normal stress (MPa);conf stress (MPa);pore press (MPa);stress drop (MPa);T (°C);peak slip velocity (m/s);Reference;Collection;Notes;Group;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;1202.491833;;;D_c;0.000109907;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;1157.857281;;;D_c;0.000173507;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;2375.58197;;;D_c;0.000162917;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;1966.23081;;;D_c;0.000206315;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;2202.499462;;;D_c;0.000209589;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;3095.706319;;;D_c;0.000219725;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;5670.135392;;;D_c;0.000206315;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;7673.796304;;;D_c;0.000273909;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;5459.669134;;;D_c;0.000278256;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;4351.146402;;;D_c;0.000269631;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;3884.386016;;;D_c;0.000265419;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;3338.981117;;;D_c;0.000212914;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;2287.404208;;;D_c;0.000206315;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;24.43938928;;;D_c;3.82742E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;30.66570669;;;D_c;4.27336E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;W_T;3530;;;delta;0.0000965;;;71.6;40;;10.9;;0.9;Lockner et al., 2017;;table 6.1;;;;
;triaxial;stick slip;granite;saw-cut;;;W_T;3500;;;delta;0.000094;;;69.5;40;;9.8;;;Lockner et al., 2017;;table 6.1;;;;
;triaxial;stick slip;granite;saw-cut;;;W_T;972;;;delta;0.0000246;;;69;40;;2.2;;0.3;Lockner et al., 2017;;table 6.1;;;;
;triaxial;stick slip;granite;saw-cut;;;W_T;9740;;;delta;0.0001843;;;90;50;;21.9;;;Lockner et al., 2017;;table 6.1;;;;
