name;machine;experiment;material;sample;fluid;method;type of energy;value (J/m^2);min (J/m^2);max (J/m^2);type of slip;value (m);min (m);max (m);normal stress (MPa);conf stress (MPa);pore press (MPa);stress drop (MPa);T (°C);peak slip velocity (m/s);Reference;Collection;Notes;Group;;;
;rotary;trapezoidal;Kaolinite;gouge;dry gouge;;Wb(Dth);703700;;;Dth;0.985;;;2.83;;;;;1.31;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Kaolinite;gouge;dry gouge;;Wb(Dth);1009000;;;Dth;3.325;;;0.88;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Kaolinite;gouge;dry gouge;;Wb(Dth);1386000;;;Dth;2.52;;;1.62;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Kaolinite;gouge;dry gouge;;Wb(Dth);1031800;;;Dth;1.395;;;2.44;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Kaolinite;gouge;dry gouge;;Wb(Dth);119500;;;Dth;0.3;;;1.33;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Kaolinite;gouge;dry gouge;;Wb(Dth);1681400;;;Dth;2.44;;;2.06;;;;;1.31;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Kaolinite;gouge;dry gouge;;Wb(Dth);668700;;;Dth;1.23;;;1.59;;;;;1.31;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Kaolinite;gouge;dry gouge;;Wb(Dth);732800;;;Dth;0.84;;;3.22;;;;;1.31;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Montmorillonite;gouge;dry gouge;;Wb(Dth);1767600;;;Dth;4.661;;;0.83;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Montmorillonite;gouge;dry gouge;;Wb(Dth);688500;;;Dth;2.055;;;1.63;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Montmorillonite;gouge;dry gouge;;Wb(Dth);396700;;;Dth;0.815;;;2.46;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Montmorillonite;gouge;dry gouge;;Wb(Dth);263600;;;Dth;0.695;;;2.03;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Montmorillonite;gouge;dry gouge;;Wb(Dth);547400;;;Dth;0.74;;;2.82;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Montmorillonite;gouge;dry gouge;;Wb(Dth);130900;;;Dth;0.23;;;3.25;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Montmorillonite;gouge;dry gouge;;Wb(Dth);582200;;;Dth;1.6;;;1.63;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Sericite;gouge;dry gouge;;Wb(Dth);743500;;;Dth;2.4;;;0.86;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Sericite;gouge;dry gouge;;Wb(Dth);1238100;;;Dth;2.88;;;1.63;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Sericite;gouge;dry gouge;;Wb(Dth);250000;;;Dth;0.565;;;2.44;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Sericite;gouge;dry gouge;;Wb(Dth);337100;;;Dth;0.62;;;2.84;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Sericite;gouge;dry gouge;;Wb(Dth);244800;;;Dth;0.44;;;3.25;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Sericite;gouge;dry gouge;;Wb(Dth);170700;;;Dth;0.45;;;2.45;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Talc;gouge;dry gouge;;Wb(Dth);882800;;;Dth;4.816;;;0.85;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Talc;gouge;dry gouge;;Wb(Dth);1287200;;;Dth;3.085;;;1.64;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Talc;gouge;dry gouge;;Wb(Dth);640800;;;Dth;1.81;;;2.45;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Talc;gouge;dry gouge;;Wb(Dth);672600;;;Dth;1.33;;;2.84;;;;;1.31;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Talc;gouge;dry gouge;;Wb(Dth);720400;;;Dth;1.065;;;3.25;;;;;1.31;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Talc;gouge;dry gouge;;Wb(Dth);742500;;;Dth;2.025;;;2.03;;;;;1.31;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Talc;gouge;dry gouge;;Wb(Dth);839200;;;Dth;2.655;;;1.65;;;;;1.3;"Faulkner et al., 2011; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nankai megasplay core (C0004);gouge;dry gouge;;Wb(Dth);655000;;;Dth;1.249;;;2;;;;;1.27;"Ujiie & Tsutsumi, 2010; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Costa Rica silty clay;gouge;dry gouge;;Wb(Dth);110000;;;Dth;0.095;;;5;;;;;1;"Vannucchi et al., 2017; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Costa Rica silty clay;gouge;dry gouge;;Wb(Dth);98000;;;Dth;0.1;;;5;;;;;1;"Vannucchi et al., 2017; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Costa Rica biogenic ooze;gouge;dry gouge;;Wb(Dth);5000;;;Dth;0.005;;;5;;;;;1;"Vannucchi et al., 2017; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Costa Rica biogenic ooze;gouge;dry gouge;;Wb(Dth);21000;;;Dth;0.035;;;5;;;;;1;"Vannucchi et al., 2017; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Talc;gouge;dry gouge;;Wb(Dth);2300000;;;Dth;6.51;;;0.95;;;;;1.31;"Boutareaud et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Talc;gouge;dry gouge;;Wb(Dth);2320000;;;Dth;5.25;;;1.36;;;;;1.31;"Boutareaud et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Talc;gouge;dry gouge;;Wb(Dth);1950000;;;Dth;8.12;;;0.55;;;;;1.31;"Boutareaud et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Talc;gouge;dry gouge;;Wb(Dth);2700000;;;Dth;12.58;;;0.27;;;;;1.31;"Boutareaud et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Talc;gouge;dry gouge;;Wb(Dth);1920000;;;Dth;3.57;;;1.8;;;;;1.31;"Boutareaud et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Talc;gouge;dry gouge;;Wb(Dth);2450000;;;Dth;7.9;;;0.97;;;;;1.31;"Boutareaud et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge;gouge;dry gouge;;Wb(Dth);3000000;;;Dth;7.49;;;0.7;;;;;1.03;"Mizoguchi et al., 2007; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge;gouge;dry gouge;;Wb(Dth);1800000;;;Dth;7.7;;;0.4;;;;;1.03;"Mizoguchi et al., 2007; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge;gouge;dry gouge;;Wb(Dth);2200000;;;Dth;11.38;;;0.3;;;;;1.03;"Mizoguchi et al., 2007; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge;gouge;dry gouge;;Wb(Dth);3700000;;;Dth;12.69;;;0.6;;;;;1.03;"Mizoguchi et al., 2007; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge;gouge;dry gouge;;Wb(Dth);2200000;;;Dth;8.88;;;0.6;;;;;1.03;"Mizoguchi et al., 2007; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge;gouge;dry gouge;;Wb(Dth);1000000;;;Dth;1.39;;;1.3;;;;;1.03;"Mizoguchi et al., 2007; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge;gouge;dry gouge;;Wb(Dth);1300000;;;Dth;2.19;;;1.3;;;;;1.03;"Mizoguchi et al., 2007; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge;gouge;dry gouge;;Wb(Dth);2300000;;;Dth;2.48;;;1.9;;;;;1.03;"Mizoguchi et al., 2007; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge;gouge;dry gouge;;Wb(Dth);1700000;;;Dth;1.82;;;1.9;;;;;1.03;"Mizoguchi et al., 2007; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (clayey);gouge;dry gouge;;Wb(Dth);1530000;;;Dth;4.41;;;1.26;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (clayey);gouge;dry gouge;;Wb(Dth);1250000;;;Dth;3.81;;;1.28;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (clayey);gouge;dry gouge;;Wb(Dth);670000;;;Dth;1.57;;;1.35;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (clayey);gouge;dry gouge;;Wb(Dth);1170000;;;Dth;2.14;;;1.32;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (clayey);gouge;dry gouge;;Wb(Dth);1130000;;;Dth;1.4;;;2.3;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (clayey);gouge;dry gouge;;Wb(Dth);720000;;;Dth;1.24;;;1.6;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (clayey);gouge;dry gouge;;Wb(Dth);1300000;;;Dth;3.21;;;0.88;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (clayey);gouge;dry gouge;;Wb(Dth);900000;;;Dth;0.94;;;3.17;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (clayey);gouge;dry gouge;;Wb(Dth);730000;;;Dth;1.5;;;1.31;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (granular);gouge;dry gouge;;Wb(Dth);1150000;;;Dth;2.37;;;1.29;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (granular);gouge;dry gouge;;Wb(Dth);1280000;;;Dth;1.97;;;2.1;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (granular);gouge;dry gouge;;Wb(Dth);1170000;;;Dth;1.57;;;2.51;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (granular);gouge;dry gouge;;Wb(Dth);1160000;;;Dth;1.1;;;3.64;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (granular);gouge;dry gouge;;Wb(Dth);1360000;;;Dth;2.44;;;1.28;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Nojima Fault gouge (granular);gouge;dry gouge;;Wb(Dth);2210000;;;Dth;5.08;;;1.24;;;;;1.31;"Sawai et al., 2012; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Median Tectonic Line (SW Japan) fault gouge;gouge;dry gouge;;Wb(Dth);1250000;;;Dth;6.01;;;0.48;;;;;1.04;"Brantut et al., 2008; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Median Tectonic Line (SW Japan) fault gouge;gouge;dry gouge;;Wb(Dth);1510000;;;Dth;5.54;;;0.59;;;;;1.04;"Brantut et al., 2008; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Median Tectonic Line (SW Japan) fault gouge;gouge;dry gouge;;Wb(Dth);2340000;;;Dth;6.84;;;0.82;;;;;1.04;"Brantut et al., 2008; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Median Tectonic Line (SW Japan) fault gouge;gouge;dry gouge;;Wb(Dth);2080000;;;Dth;6.34;;;0.99;;;;;1.04;"Brantut et al., 2008; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Median Tectonic Line (SW Japan) fault gouge;gouge;dry gouge;;Wb(Dth);1930000;;;Dth;4.37;;;1.15;;;;;1.04;"Brantut et al., 2008; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Median Tectonic Line (SW Japan) fault gouge;gouge;dry gouge;;Wb(Dth);680000;;;Dth;1.37;;;1.32;;;;;1.04;"Brantut et al., 2008; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Longmenshan fault gouge (2008 Wenchuan earthquake);gouge;dry gouge;;Wb(Dth);80000;;;Dth;0.23;;;1.01;;;;;1.3;"Togo et al., 2011b; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Longmenshan fault gouge (2008 Wenchuan earthquake);gouge;dry gouge;;Wb(Dth);1010000;;;Dth;3.25;;;0.8;;;;;1.3;"Togo et al., 2011b; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Longmenshan fault gouge (2008 Wenchuan earthquake);gouge;dry gouge;;Wb(Dth);970000;;;Dth;4.14;;;0.61;;;;;1.3;"Togo et al., 2011b; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Longmenshan fault gouge (2008 Wenchuan earthquake);gouge;dry gouge;;Wb(Dth);450000;;;Dth;1.51;;;1.21;;;;;1.3;"Togo et al., 2011b; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Longmenshan fault gouge (2008 Wenchuan earthquake);gouge;dry gouge;;Wb(Dth);850000;;;Dth;1.63;;;1.64;;;;;1.3;"Togo et al., 2011b; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Longmenshan fault gouge (2008 Wenchuan earthquake);gouge;dry gouge;;Wb(Dth);860000;;;Dth;1.22;;;2.05;;;;;1.3;"Togo et al., 2011b; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Longmenshan fault gouge (2008 Wenchuan earthquake);gouge;dry gouge;;Wb(Dth);630000;;;Dth;0.63;;;3.04;;;;;1.3;"Togo et al., 2011b; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Longmenshan fault gouge (2008 Wenchuan earthquake);gouge;dry gouge;;Wb(Dth);1200000;;;Dth;2.34;;;1.03;;;;;1.08;"Togo et al., 2011b; Seyler et al., 2020";Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Anhydrite dry gouge;gouge;dry gouge;;Wb(Dth);3300000;;;Dth;5.2;;;0.8;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Anhydrite dry gouge;gouge;dry gouge;;Wb(Dth);3100000;;;Dth;5.71;;;0.5;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Anhydrite dry gouge;gouge;dry gouge;;Wb(Dth);2300000;;;Dth;2.15;;;1.3;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Anhydrite dry gouge;gouge;dry gouge;;Wb(Dth);2800000;;;Dth;2.22;;;1.7;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Anhydrite dry gouge;gouge;dry gouge;;Wb(Dth);1900000;;;Dth;2.13;;;1;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Anhydrite dry gouge;gouge;dry gouge;;Wb(Dth);4000000;;;Dth;8.26;;;0.5;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Anhydrite dry gouge;gouge;dry gouge;;Wb(Dth);2800000;;;Dth;2.38;;;1.7;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Anhydrite dry gouge;gouge;dry gouge;;Wb(Dth);2200000;;;Dth;1.85;;;1.4;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Anhydrite dry gouge;gouge;dry gouge;;Wb(Dth);1300000;;;Dth;0.98;;;2;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Dolomite dry gouge;gouge;dry gouge;;Wb(Dth);3500000;;;Dth;8.72;;;0.4;;;;;1.3;De Paola et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Dolomite dry gouge;gouge;dry gouge;;Wb(Dth);2200000;;;Dth;3.44;;;0.8;;;;;1.3;De Paola et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Dolomite dry gouge;gouge;dry gouge;;Wb(Dth);1800000;;;Dth;2.38;;;1.2;;;;;1.3;De Paola et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Dolomite dry gouge;gouge;dry gouge;;Wb(Dth);2600000;;;Dth;2.36;;;1.7;;;;;1.3;De Paola et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Dolomite dry gouge;gouge;dry gouge;;Wb(Dth);3900000;;;Dth;2.54;;;2;;;;;1.3;De Paola et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Dolomite dry gouge;gouge;dry gouge;;Wb(Dth);4300000;;;Dth;2.34;;;2;;;;;1.3;De Paola et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Dolomite dry gouge;gouge;dry gouge;;Wb(Dth);2800000;;;Dth;2.57;;;1.6;;;;;1.3;De Paola et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Dolomite dry gouge;gouge;dry gouge;;Wb(Dth);4000000;;;Dth;2.97;;;1.6;;;;;1.3;De Paola et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Dolomite dry gouge;gouge;dry gouge;;Wb(Dth);2200000;;;Dth;2.31;;;1.2;;;;;1.3;De Paola et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Dolomite dry gouge;gouge;dry gouge;;Wb(Dth);2900000;;;Dth;5.56;;;0.8;;;;;1.3;De Paola et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Gypsum dry gouge;gouge;dry gouge;;Wb(Dth);3700000;;;Dth;4.18;;;0.8;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Gypsum dry gouge;gouge;dry gouge;;Wb(Dth);3200000;;;Dth;5.28;;;0.4;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Gypsum dry gouge;gouge;dry gouge;;Wb(Dth);2800000;;;Dth;2.24;;;1.3;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Gypsum dry gouge;gouge;dry gouge;;Wb(Dth);2200000;;;Dth;1.52;;;1.6;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Gypsum dry gouge;gouge;dry gouge;;Wb(Dth);2600000;;;Dth;1.45;;;2;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Gypsum dry gouge;gouge;dry gouge;;Wb(Dth);3100000;;;Dth;2.57;;;1.2;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Gypsum dry gouge;gouge;dry gouge;;Wb(Dth);3300000;;;Dth;2.26;;;1.6;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Gypsum dry gouge;gouge;dry gouge;;Wb(Dth);3800000;;;Dth;1.98;;;2;;;;;1.3;Di Toro et al., 2011;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);26200000;;;Dth;9.2;;;4.9;;;;;1.18;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);17800000;;;Dth;5.88;;;4.9;;;;;1.18;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);21600000;;;Dth;6.24;;;4.9;;;;;1.18;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);19000000;;;Dth;6.94;;;4.9;;;;;1.18;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);14600000;;;Dth;7.15;;;4.9;;;;;1.17;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);14000000;;;Dth;4.97;;;6.1;;;;;1.18;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);15200000;;;Dth;4.87;;;6.1;;;;;1.17;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);16700000;;;Dth;2.87;;;7.2;;;;;1.13;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);27400000;;;Dth;6.55;;;7.2;;;;;1.13;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);12200000;;;Dth;3.42;;;7.3;;;;;1.18;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);27300000;;;Dth;7.17;;;7.3;;;;;1.17;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);20100000;;;Dth;3.44;;;7.8;;;;;1.13;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);10300000;;;Dth;1.37;;;12.1;;;;;1.18;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);8800000;;;Dth;1.23;;;12.2;;;;;1.18;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);15700000;;;Dth;2.18;;;12.2;;;;;1.18;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);32200000;;;Dth;4.7;;;12.2;;;;;1.17;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);17100000;;;Dth;2.62;;;12.3;;;;;1.17;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Carrara marble (calcite);saw-cut;intact rock;;Wb(Dth);12000000;;;Dth;1.95;;;13.4;;;;;1.18;Han et al., 2007;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Dolomite;saw-cut;intact rock;;Wb(Dth);26900000;;;Dth;4.74;;;12.2;;;;;1.17;Han et al., 2010;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Gabbro;saw-cut;intact rock;;Wb(Dth);7500000;;;Dth;1.01;;;15.5;;;;;1.14;Nielsen et al., 2008;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Gabbro;saw-cut;intact rock;;Wb(Dth);5100000;;;Dth;2.13;;;5.1;;;;;1.14;Nielsen et al., 2008;Seyler et al., 2020;tab sm;3;;;
;rotary;trapezoidal;Peridotite;saw-cut;intact rock;;Wb(Dth);14500000;;;Dth;1.93;;;15;;;;;1.14;Di Toro et al., 2006b;Seyler et al., 2020;tab sm;3;;;
